"FID","FID.1","mean","sd","skewness","kurtosis"
"0",0,0.663085461404902,0.0992169734036566,-0.85922068853313,0.383739022031329
"1",1,0.639608478068392,0.0748675922620495,-0.355243040087436,-0.0313411313959358
"2",2,0.640802663348164,0.0775972571079673,-0.422229835099849,0.0416147002674783
"3",3,0.546021275860618,0.0933557399997064,-0.407399521859799,-0.155622691215107
"4",4,0.687680440325717,0.0771111410854241,-0.841621497705325,0.66402231849089
"5",5,0.635569162545061,0.086707250213825,-0.619323203953328,0.262910412662289
"6",6,0.614163410379683,0.089488409807444,-0.451283075414209,0.345058763420121
"7",7,0.613857328423496,0.0873293941033676,-0.660596973146412,0.466399246004832
"8",8,0.683485063127886,0.0726725684749295,-1.00264115357076,1.42817517506431
"9",9,0.751011029962441,0.0751398775149434,-1.11988379455948,1.40312206121651
"10",10,0.608382346199357,0.087888718148117,-0.44525691601059,-0.0411602851871087
"11",11,0.628546821737986,0.124238189690985,-0.809844154946079,0.0464439659050964
"12",12,0.660146865037311,0.128299386492585,-1.22501680389788,1.31764517114729
"13",13,0.622290905188683,0.101304381989595,-0.575638878395574,-0.148471376980158
"14",14,0.656039358120067,0.0756762690087551,-0.799075057951896,1.00469029002294
"15",15,0.704609540846072,0.0738970420441344,-0.740496168258105,0.610313090099883
"16",16,0.677860853195796,0.0759433296571554,-0.832179370562306,0.991817001719677
"17",17,0.691477247680721,0.0759847567286992,-0.779065083308383,0.657223754576458
"18",18,0.690891163187427,0.0785182876750564,-0.809053270992178,0.700164690369474
"19",19,0.544991771096002,0.090301795773627,-0.478301877906809,-0.0388292169875704
"20",20,0.669970348822049,0.0807215552731461,-0.724507260874501,0.508992342508496
"21",21,0.625835478918375,0.0911706540006178,-0.602718684081958,0.00415014283913528
"22",22,0.597892514978893,0.133185252583788,-0.573379641342002,-0.144715175159552
"23",23,0.621390150701578,0.0872343679959783,-0.800520027500088,1.13504357056875
"24",24,0.732118427699333,0.0745570247557882,-1.12862267792341,2.03637534932043
"25",25,0.7380396611252,0.0646637858678151,-0.887549110672128,1.47436258954007
"26",26,0.706321187442856,0.0901309516487359,-1.08711779380551,1.26173587760154
"27",27,0.695541405142131,0.0921136361188132,-0.937856921088,0.768584805863544
"28",28,0.674179788854044,0.0853442115807194,-0.672969428062878,0.406086717119765
"29",29,0.656318604271472,0.0849738976872078,-0.867100569967945,0.725848792946799
"30",30,0.625850836404677,0.0872974044523714,-0.684477654868902,0.319862004706346
"31",31,0.603604896888458,0.0945990785291305,-0.664324981200036,0.0717739823327443
"32",32,0.667589959640978,0.0745966346082624,-0.851453390028228,0.826982641173965
"33",33,0.622531143771645,0.124881874690413,-0.696563033642851,-0.207813236892061
"34",34,0.600580681551163,0.103394412697799,-0.588157179093309,-0.0458758157977046
"35",35,0.488581947605166,0.103163964154828,-0.233450433179943,-0.469363891778082
"36",36,0.511569301484565,0.0836533352843631,-0.0551076046374898,-0.365853716428758
"37",37,0.558471616730064,0.0797813996468259,-0.422433189645191,-0.0239911730070701
"38",38,0.694213746247711,0.0778815898466954,-1.25930360373118,2.79475668089762
"39",39,0.547432154432097,0.094843121644579,-0.324892454510881,-0.173186947370193
"40",40,0.745271771100194,0.0928228751845529,-1.72598306947059,4.66929421663009
"41",41,0.712804702152739,0.0921067137612082,-1.7229154706359,5.93623063665917
"42",42,0.720359625311075,0.0848520728069136,-1.80687811303702,4.70947792315666
"43",43,0.633760799818193,0.11039740435866,-0.707992215657641,0.00974589917407442
"44",44,0.645041862961499,0.0812197966971483,-0.639515398075603,0.481527543596101
"45",45,0.664029812630297,0.0855476025412987,-0.7685556285723,0.684547959472954
"46",46,0.615959134900529,0.0897848150871589,-0.72613012194833,0.755327512348313
"47",47,0.546771964525745,0.100309887419805,-0.403424698016667,-0.270095766182288
"48",48,0.546555732936841,0.121655142925476,-0.274620602028889,-0.573053763193885
"49",49,0.674486946229351,0.0930660303142378,-0.788752508928705,0.521151015100425
"50",50,0.485000048615852,0.143688464982465,-0.114381633815668,-0.786947723748899
"51",51,0.59980641444836,0.11375415132322,-0.550996602614615,-0.3557101774052
"52",52,0.513261413762432,0.101489732365576,-0.306317624761807,-0.275557356724027
"53",53,0.531823519631196,0.0970527676136287,-0.275624091464534,-0.256747798506869
"54",54,0.564319920204888,0.0986216321723415,-0.275979285079074,-0.29189022269375
"55",55,0.53502184218486,0.129399244923963,-0.241472328376449,-0.881468673914469
"56",56,0.576006467709012,0.0997710529315661,-0.541152947841918,0.0648634946668869
"57",57,0.584806647731545,0.104073304605868,-0.517051577806474,0.0496385572741183
"58",58,0.623591161140047,0.118026192754098,-0.79649481585765,0.39767370160986
"59",59,0.64376260978648,0.0985701700949018,-0.748327678667177,0.3496232724343
"60",60,0.694871603389909,0.0815684076551181,-1.28105453417229,2.45325053235209
